drug_name,letter,has_ai_editorial,source_document_count,agencies
"5-Aminolevulinic acid",#,yes,2,PMDA;TGA
"Abacavir",A,yes,6,EMA;FDA;Other;PMDA
"abacavir",A,no,2,FDA;TGA
"abacavir + lamivudine",A,yes,1,TGA
"Abacavir with lamivudine",A,yes,5,EMA;Other;PMDA
"abametapir",A,yes,2,FDA
"Abatacept",A,yes,7,EMA;FDA;Other;PMDA;TGA
"abciximab",A,no,2,Other
"Abemaciclib",A,yes,7,EMA;FDA;Other;PMDA;TGA
"Abiraterone",A,yes,7,EMA;FDA;Other;PMDA;TGA
"abiraterone + methylprednisolone",A,yes,1,TGA
"abiraterone + prednisolone",A,yes,1,TGA
"abiraterone acetate",A,yes,3,FDA;TGA
"Abiraterone and methylprednisolone",A,yes,3,Other;TGA
"abobotulinumtoxinA",A,no,4,Other;PMDA
"abrocitinib",A,yes,6,FDA;Other;PMDA;TGA
"absinthium + arsenic + allium + amoeba + ammonium + dibasic + activated + cinchona + veratrum",A,yes,1,FDA
"Acalabrutinib",A,yes,8,EMA;FDA;Other;PMDA;TGA
"Acamprosate",A,yes,4,FDA;Other;PMDA;TGA
"acamprosate calcium",A,yes,1,TGA
"Acarbose",A,yes,6,FDA;Other;PMDA;TGA
"acebutolol",A,yes,3,FDA;Other;PMDA
"acenocoumarol",A,no,3,Other;PMDA
"acetaminophen",A,yes,4,Other;PMDA
"acetaminophen + chlorpheniramine + dextromethorphan",A,yes,1,FDA
"acetaminophen + dextromethorphan",A,yes,1,FDA
"Acetazolamide",A,yes,5,FDA;Other;PMDA;TGA
"Acetic acid",A,yes,2,FDA;Other
"acetohexamide",A,no,1,PMDA
"acetohydroxamic acid",A,yes,1,FDA
"acetylcholine",A,yes,3,FDA;PMDA;TGA
"acetylcholine + acetaldehyde + apiol + ascorbic + butylated + caffeic + candida + chlorogenic + cinnamic + coniferyl + coumarin + dopamine + estrogen + gamma-aminobutyric + gallic + histamine + indole + levodopa + malvin + mannan + melatonin + menadione + norepinephrine + octopamine + phenylalanine + phenyl + phlorizin + piperine + progesterone + pyrrole + quercetin + rutin + salsolinol + serotonin + taurine + testosterone + tryptophan",A,yes,1,FDA
"Acetylcysteine",A,yes,4,Other;PMDA;TGA
"Acetylcysteine (inhaled)",A,no,2,Other;PMDA
"achillea millefolium",A,yes,1,FDA
"Aciclovir",A,yes,3,Other;PMDA;TGA
"Aciclovir (eye)",A,no,1,Other
"Acitretin",A,yes,2,Other;TGA
"Aclidinium",A,yes,2,PMDA;TGA
"Aclidinium with formoterol",A,no,1,PMDA
"acrivastine + pseudoephedrine",A,yes,1,FDA
"activated + sorbitol",A,yes,1,TGA
"Activated charcoal",A,yes,1,TGA
"acyclovir",A,yes,1,FDA
"adagrasib",A,yes,1,FDA
"Adagrasib",A,no,1,PMDA
"Adalimumab",A,yes,5,Other;PMDA;TGA
"adalimumab",A,no,3,FDA;TGA
"Adapalene",A,yes,1,TGA
"Adefovir",A,yes,1,TGA
"Adenosine",A,yes,1,TGA
"adenosine + selenicereus + convallaria + pork + magnesium + potassium + thyroid + ubidecarenone + germanium + strophanthus + adonis + digitalis",A,yes,1,FDA
"adeps + bryonia + calcarea + choline + dna + dopamine + ferrum + folic + insulin + leptin + magnesium + l-methionine + methylcobalamin + proteus + rhus + riboflavin + ruta + sucrose + allylthiourea + zinc",A,yes,1,FDA
"ado-trastuzumab emtansine",A,yes,3,FDA;Other;PMDA
"adrenaline (epinephrine)",A,yes,2,TGA
"afamelanotide",A,yes,1,FDA
"Afatinib",A,yes,5,Other;PMDA;TGA
"Aflibercept",A,yes,5,Other;PMDA;TGA
"Agalsidase",A,yes,1,TGA
"agalsidase alfa",A,yes,1,TGA
"Agalsidase alfa",A,no,1,PMDA
"agalsidase beta",A,yes,2,FDA;TGA
"Agalsidase beta",A,no,1,PMDA
"Agomelatine",A,yes,1,TGA
"alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + taurine + threonine + tryptophan + tyrosine + valine",A,yes,3,TGA
"alanine + arginine + glycine + histidine + isoleucine + leucine + lysine + methionine + phenylalanine + proline + serine + threonine + tryptophan + tyrosine + valine + sodium + potassium + calcium + magnesium + sodium + zinc + glucose + soya + olive + medium + fish",A,yes,1,TGA
"Albendazole",A,yes,1,TGA
"albumin",A,yes,1,FDA
"albuterol",A,yes,1,FDA
"alcaftadine",A,yes,1,FDA
"alclometasone",A,yes,1,FDA
"aldesleukin + barium + agnus + chimaphila + clematis + conium + delphinium + digitalis + ferric + interferon + interleukin-10 + melatonin + saw + selenium + sus + transforming + thuja + zinc",A,yes,1,FDA
"Alectinib",A,yes,4,Other;PMDA;TGA
"Alendronate",A,yes,2,Other;PMDA
"alendronate + colecalciferol",A,yes,2,TGA
"alfacalcidol",A,no,1,PMDA
"Alfentanil",A,yes,1,TGA
"Alfuzosin",A,yes,2,Other;TGA
"Alglucosidase alfa",A,yes,1,TGA
"alirocumab",A,yes,2,FDA;PMDA
"aliskiren",A,yes,2,FDA;Other
"alitretinoin",A,yes,1,FDA
"Allopurinol",A,yes,3,Other;PMDA;TGA
"allopurinol",A,no,2,FDA;TGA
"almotriptan",A,yes,1,FDA
"aloe + semecarpus + silver + activated + matricaria + anamirta + citrullus + cupric + ferrosoferric + iodine + ipecac + strychnos + podophyllum + robinia + sepia + potentilla + veratrum",A,yes,1,FDA
"Alogliptin",A,yes,3,Other;PMDA;TGA
"alosetron",A,yes,1,FDA
"alpelisib",A,yes,2,FDA;TGA
"alpha-1-proteinase inhibitor human",A,yes,1,FDA
"Alpha1-proteinase inhibitor",A,yes,1,FDA
"Alprazolam",A,yes,3,Other;PMDA;TGA
"alprazolam",A,no,1,FDA
"Alprostadil",A,yes,1,TGA
"Alteplase",A,yes,2,PMDA;TGA
"aluminum + dimethicone + magnesium",A,yes,1,FDA
"aluminum + magnesium",A,yes,1,FDA
"aluminum acetate",A,yes,1,FDA
"aluminum sesquichlorohydrate",A,yes,1,FDA
"alvimopan",A,yes,1,FDA
"Amantadine",A,yes,2,PMDA;TGA
"Ambrisentan",A,yes,2,PMDA;TGA
"ambroxol",A,yes,1,FDA
"amcinonide",A,yes,1,FDA
"Amifampridine",A,yes,1,TGA
"amifostine",A,yes,1,FDA
"Amikacin",A,yes,1,TGA
"amiloride",A,yes,1,FDA
"amiloride + hydrochlorothiazide",A,yes,1,TGA
"aminocaproic acid",A,yes,1,FDA
"aminolevulinic acid",A,yes,2,FDA;TGA
"Aminophylline",A,yes,1,TGA
"aminophylline",A,no,1,TGA
"Amiodarone",A,yes,1,TGA
"Amisulpride",A,yes,1,TGA
"Amitriptyline",A,yes,1,TGA
"Amivantamab",A,yes,1,TGA
"amlodipine + benazepril",A,yes,1,FDA
"amlodipine + valsartan",A,yes,1,TGA
"ammonium lactate",A,yes,1,FDA
"amoxapine",A,yes,1,FDA
"amoxicillin + clavulanic",A,yes,1,TGA
"amphetamine",A,yes,1,FDA
"Amphotericin B",A,yes,1,TGA
"Ampicillin",A,yes,1,TGA
"amyl nitrite",A,yes,1,FDA
"Anagrelide",A,yes,1,TGA
"Anakinra",A,yes,1,TGA
"Anastrozole",A,yes,1,TGA
"Andexanet alfa",A,yes,1,FDA
"angiotensin II",A,yes,1,FDA
"Anidulafungin",A,yes,1,TGA
"Anifrolumab",A,yes,1,TGA
"ansuvimab",A,yes,1,FDA
"anthrax vaccine",A,yes,1,FDA
"anti-inhibitor coagulant complex",A,yes,1,FDA
"anti-thymocyte globulin (rabbit)",A,yes,1,FDA
"antihemophilic factor",A,yes,1,FDA
"antihemophilic factor (recombinant)",A,yes,1,FDA
"antithrombin III",A,yes,2,FDA;TGA
"antithymocyte globulin (rabbit)",A,yes,1,TGA
"antivenin",A,yes,1,FDA
"Apalutamide",A,yes,1,TGA
"apis + antimonium + ascorbic + bovista + carbolicum + chamomilla + cortisone + ginkgo + hepar + histaminum + natrum + quercetin + rhus + scutellaria + stomach + urtica",A,yes,1,FDA
"apis + antimony + ascorbic + lycoperdon + phenol + matricaria + cortisone + ginkgo + pork + histamine + sodium + quercetin + toxicodendron + scutellaria + sus + urtica",A,yes,1,FDA
"Apixaban",A,yes,1,TGA
"Apomorphine",A,yes,1,TGA
"Apraclonidine",A,yes,1,TGA
"Apremilast",A,yes,1,TGA
"Aprepitant",A,yes,1,TGA
